symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
FIREUSDT,2025-01-04 17:30:00+09:00,0.4589,0.461,0.457,0.4581,8796.0,1497873.5,0.0001,-0.543,-73.06,0.289
FLMUSDT,2025-01-04 17:30:00+09:00,0.07899,0.07924,0.07882,0.07882,74178.0,16675298.0,0.000361,-1.401,-77.673,0.075
FLOWUSDT,2025-01-04 17:30:00+09:00,0.7903,0.7918,0.7884,0.7886,66391.1,11134292.1,0.0001,-0.93,1076.514,5.524
FLRUSDT,2025-01-04 17:30:00+09:00,0.02831,0.02843,0.02822,0.02826,246850.0,123074080.0,0.0001,-0.633,-2.445,0.717
FLUXUSDT,2025-01-04 17:30:00+09:00,0.6704,0.6732,0.6691,0.6698,6582.0,2101414.0,0.0001,-1.457,137.975,-0.563
FORTHUSDT,2025-01-04 17:30:00+09:00,5.5127,5.5282,5.5015,5.5015,844.2,221250.0,0.0001,-1.364,-14.034,-0.547
FOXYUSDT,2025-01-04 17:30:00+09:00,0.012609,0.012654,0.01259,0.01259,468600.0,221096430.0,0.0001,-1.045,196.046,0.428
FTMUSDT,2025-01-04 17:30:00+09:00,0.8436,0.8486,0.8412,0.8423,631839.0,78751512.0,0.0001,-1.921,82.514,-1.149
FTNUSDT,2025-01-04 17:30:00+09:00,3.5335,3.5374,3.5295,3.5325,1104.2,188122.1,0.0001,-0.042,-40.011,-0.223
FUELUSDT,2025-01-04 17:30:00+09:00,0.07651,0.07773,0.07586,0.07748,4463460.0,73632140.0,5e-05,5.415,186.892,2.648
FUSDT,2025-01-04 17:30:00+09:00,0.05359,0.05412,0.05351,0.05358,500388.0,34062744.0,0.0001,-1.724,-24.418,-2.512
FWOGUSDT,2025-01-04 17:30:00+09:00,0.2909,0.29414,0.28855,0.28965,365912.0,30062344.0,0.0001,-1.573,-19.939,-1.054
FXSUSDT,2025-01-04 17:30:00+09:00,3.8525,3.86,3.836,3.8365,4319.49,1171101.7,0.0001,-1.527,90.799,-0.379
